Word,Frequency
the,588
and,471
to,399
a,296
of,288
that,258
i,255
in,203
it,189
have,181
they,173
is,168
we,164
you,161
people,127
for,110
was,102
what,102
on,96
he,96
she,95
our,93
this,89
do,84
not,80
because,78
president,78
going,76
but,75
with,75
be,73
about,72
are,70
country,66
said,64
would,60
all,59
don't,57
so,55
up,55
at,55
who,54
as,53
has,53
know,50
get,49
one,49
when,47
they're,46
it's,44
if,44
just,43
by,41
her,41
that's,39
will,38
out,37
like,37
been,37
now,37
them,36
plan,36
me,35
had,34
trump,34
were,33
want,33
go,33
no,32
states,32
over,32
did,32
my,32
donald,32
world,31
never,31
got,31
well,31
we're,30
back,30
their,30
look,29
him,29
why,29
years,28
done,28
talk,28
very,27
i'm,27
can,27
american,27
united,26
or,26
from,25
there,25
where,25
an,24
than,24
into,24
these,24
let's,24
us,23
say,23
think,23
she's,23
right,22
those,22
his,22
economy,21
many,21
time,21
come,21
didn't,21
ever,20
i'll,20
down,20
understand,20
other,19
even,19
good,19
believe,19
care,19
which,18
being,18
let,18
thing,18
war,18
things,17
went,17
make,17
happened,17
former,17
most,17
actually,17
history,16
millions,16
again,16
lot,16
vote,16
tell,16
first,15
biden,15
then,15
way,15
he's,15
need,15
countries,14
much,14
they've,14
left,14
every,14
jobs,14
bad,14
great,14
made,14
doesn't,14
how,14
america,14
border,14
china,13
money,13
worst,13
what's,13
should,13
end,13
you're,13
election,13
vice,13
see,12
million,12
i've,12
something,12
ask,12
israel,12
tax,11
billions,11
dollars,11
inflation,11
before,11
military,11
work,11
new,11
more,11
leader,11
3,11
person,11
crime,11
putin,11
ukraine,11
wouldn't,11
some,10
took,10
fact,10
seen,10
ago,10
also,10
happening,10
better,10
everybody,10
nobody,10
give,10
only,10
take,10
abortion,10
different,10
month,10
put,10
started,10
russia,10
big,10
your,10
security,10
doing,9
after,9
can't,9
known,9
americans,9
we'll,9
important,9
far,9
same,9
respond,9
rallies,9
nation,9
killed,9
any,9
fracking,9
12,9
times,9
energy,9
remember,9
national,9
bill,9
stand,9
around,9
respect,9
must,9
clear,9
knows,8
cases,8
coming,8
destroying,8
job,8
bring,8
four,8
absolutely,8
criminals,8
too,8
through,8
court,8
issue,8
wanted,8
reason,8
two,8
congress,8
call,8
lost,8
another,8
here,8
taliban,8
votes,8
democracy,8
david,8
afraid,8
weak,8
point,8
families,8
someone,8
act,8
pay,7
off,7
really,7
higher,7
came,7
does,7
under,7
ban,7
loans,7
ended,7
getting,7
young,7
saw,7
problem,7
having,7
sitting,7
allowed,7
okay,7
wants,7
day,7
rid,7
term,7
debate,7
trying,7
standing,7
leaders,7
pipeline,7
place,7
away,7
deal,7
stop,7
women,7
health,7
insurance,7
support,7
small,7
businesses,7
trump's,7
tonight,7
importance,7
affordable,7
tariffs,6
probably,6
taking,6
nothing,6
read,6
together,6
create,6
else,6
able,6
prices,6
three,6
worse,6
policy,6
change,6
later,6
could,6
each,6
lie,6
student,6
allow,6
question,6
allowing,6
hear,6
kind,6
fired,6
called,6
against,6
wasn't,6
pennsylvania,6
oil,6
five,6
prosecuted,6
last,6
year,6
nato,6
zelenskyy,6
negotiate,6
including,6
obamacare,6
working,6
worked,6
manufacturing,6
am,6
law,6
home,6
we've,5
middle,5
towns,5
greatest,5
2025,5
pandemic,5
anything,5
credit,5
gave,5
paying,5
gone,5
buy,5
destroyed,5
state,5
supreme,5
liberal,5
government,5
there's,5
sign,5
won't,5
both,5
house,5
whole,5
idea,5
ivf,5
days,5
maybe,5
anybody,5
police,5
given,5
ones,5
guilty,5
threat,5
–,5
raised,5
guns,5
business,5
understands,5
mayor,5
i'd,5
soldiers,5
capitol,5
you'll,5
build,5
europe,5
instead,5
hates,5
wrong,5
own,5
iran,5
billion,5
less,5
hasn't,5
building,5
black,5
always,5
cost,5
private,5
auto,5
aspirations,5
dreams,5
intend,5
afford,5
america's,5
terms,5
true,5
values,5
ability,5
taken,4
few,4
top,4
pouring,4
highest,4
created,4
number,4
project,4
cut,4
since,4
thought,4
possible,4
value,4
finish,4
oh,4
gonna,4
immediately,4
administration,4
anymore,4
policies,4
york,4
strength,4
six,4
mother,4
voting,4
democrats,4
says,4
senate,4
close,4
boss,4
saying,4
talked,4
couldn't,4
leave,4
biggest,4
eating,4
thank,4
fire,4
common,4
told,4
kill,4
use,4
win,4
general,4
criminal,4
months,4
head,4
400,4
14,4
choice,4
during,4
speech,4
killing,4
nancy,4
pelosi,4
washington,4
responsible,4
proud,4
love,4
show,4
old,4
running,4
either,4
within,4
terror,4
horrible,4
settled,4
agreement,4
pled,4
plans,4
run,4
future,4
john,4
mccain,4
plants,4
middleclass,4
children,4
knowing,4
clean,4
increase,4
next,4
invite,4
help,4
focusing,4
investing,4
race,4
course,4
deserve,4
turn,4
page,4
address,4
protecting,4
understanding,4
ensuring,4
sales,3
everything,3
yet,3
nation's,3
21,3
50,3
60,3
class,3
springfield,3
dangerous,3
ideas,3
book,3
entire,3
school,3
worth,3
try,3
hundreds,3
dying,3
85,3
chips,3
marxist,3
bigger,3
immigration,3
almost,3
hate,3
life,3
republicans,3
republican,3
brought,3
individual,3
federal,3
courage,3
gotten,3
favor,3
matter,3
essentially,3
rejected,3
part,3
free,3
discuss,3
jd,3
roe,3
v,3
wade,3
governor,3
leaving,3
incredible,3
venezuela,3
television,3
dog,3
used,3
yeah,3
afghanistan,3
economists,3
drug,3
roof,3
statements,3
opponent,3
recently,3
weaponized,3
involved,3
joe,3
fake,3
