Word,Frequency
is,108
president,53
about,45
who,53
has,33
trump,26
donald,29
can,17
american,26
united,19
let's,21
us,17
his,20
understand,16
believe,12
care,13
which,14
former,16
actually,16
tell,12
need,11
america,11
end,8
election,8
vice,11
tax,10
military,8
work,10
more,7
also,7
your,8
security,8
known,8
americans,7
important,6
same,6
times,6
remember,6
national,7
bill,6
stand,8
around,8
must,7
absolutely,5
too,5
here,5
point,7
young,6
having,6
term,5
place,5
women,6
health,5
each,5
hear,5
kind,4
year,4
zelenskyy,4
including,5
working,5
worked,5
manufacturing,4
buy,4
raised,4
guns,4
understands,4
instead,4
own,4
always,4
cost,4
project,3
since,3
value,3
strength,3
mother,3
senate,3
common,3
criminal,3
proud,3
love,3
old,3
plans,3
future,3
john,3
mccain,3
sales,2
nation's,2
60,2
dangerous,2
ideas,2
school,2
hate,2
life,2
individual,2
favor,2
part,2
free,2
roe,2
v,2
wade,2
economists,2
drug,2
opponent,2
joe,2
nowhere,2
disgrace,2
asked,2
meet,2
kid,2
human,2
trade,2
force,2
owned,2
white,2
tried,2
