Word,Frequency
it,158
they,167
people,79
was,70
she,92
our,58
do,59
because,58
going,60
but,60
with,46
are,45
country,55
said,42
all,49
don't,43
up,35
at,36
get,39
one,32
they're,45
it's,34
if,31
just,32
by,29
her,33
that's,32
out,29
like,32
been,24
now,27
them,29
me,29
had,29
were,23
go,25
no,23
over,20
did,24
world,21
never,26
got,26
we're,25
back,20
look,24
him,20
why,18
years,24
done,22
very,19
i'm,19
or,19
from,17
than,18
into,20
these,22
say,17
think,14
she's,22
those,16
economy,13
many,16
come,20
didn't,18
ever,17
i'll,15
down,14
other,14
even,18
let,16
thing,13
war,15
went,14
make,12
happened,14
most,12
history,13
lot,14
vote,14
biden,13
way,12
he's,13
countries,13
much,10
left,10
every,11
jobs,10
great,11
made,9
border,11
china,10
worst,10
should,8
see,9
million,8
something,8
ask,9
dollars,10
inflation,9
before,9
3,9
person,8
crime,10
putin,8
took,8
fact,7
seen,9
happening,7
better,7
everybody,9
take,9
different,9
month,8
put,7
started,8
russia,8
big,8
doing,8
after,8
far,6
rallies,6
nation,8
killed,8
any,7
12,8
knows,7
cases,7
coming,5
job,7
bring,5
four,5
wanted,7
reason,6
two,6
congress,5
call,5
lost,6
another,5
taliban,7
david,5
afraid,7
weak,6
came,5
does,5
ended,5
allowed,5
okay,6
away,5
create,4
able,4
prices,4
worse,5
policy,4
change,4
later,5
could,4
lie,4
allow,4
question,4
allowing,5
fired,5
pennsylvania,4
prosecuted,4
nato,4
negotiate,4
we've,4
greatest,4
credit,4
paying,4
supreme,4
won't,4
ivf,4
anybody,4
given,4
threat,4
i'd,4
soldiers,4
europe,4
building,4
few,3
created,3
possible,3
immediately,3
administration,3
policies,3
york,3
six,3
says,3
thank,3
told,3
kill,3
use,3
win,3
400,3
choice,3
responsible,3
either,3
within,3
plants,3
yet,2
50,2
class,2
entire,2
chips,2
immigration,2
republicans,2
republican,2
brought,2
federal,2
essentially,2
discuss,2
jd,2
leaving,2
recently,2
uh,2
stuff,2
laughing,2
please,2
whatever,2
respected,2
problems,2
presidentelect,2
lives,2
protect,2
expensive,2
wars,2
